,name,link,link_employer,salary,salary_min,salary_max,salary_cur
38,Инженер-схемотехник,https://hh.ru/vacancy/46761094?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/5608820,от 3000 USD,3000.0,,USD
39,Инженер-схемотехник,https://hh.ru/vacancy/46761209?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/5608820,от 3000 USD,3000.0,,USD
40,Тестировщик оборудования/Инженер-электронщик/Сборщик оборудования,https://hh.ru/vacancy/46617154?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/2939795,от 50000 руб.,50000.0,,руб
41,Ведущий инженер-электронщик,https://hh.ru/vacancy/46557187?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/4134644,100000 – 150000 руб.,100000.0,150000.0,руб
42,Разработчик печатных плат,https://hh.ru/vacancy/46335836?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/2038845,,,,
43,Электронщик в сервисную службу,https://hh.ru/vacancy/46944913?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/2721405,,,,
44,Инженер (разработчик радиоаппаратуры),https://hh.ru/vacancy/44048976?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/11229,,,,
45,Инженер-конструктор,https://hh.ru/vacancy/47129157?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/949774,,,,
46,Инженер-разработчик (микроконтроллеры),https://hh.ru/vacancy/46970635?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/149051,от 80000 руб.,80000.0,,руб
47,Монтажник радиоэлектронной аппаратуры и приборов,https://hh.ru/vacancy/46502062?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/2008828,35000 – 50000 руб.,35000.0,50000.0,руб
48,Инженер-конструктор,https://hh.ru/vacancy/46768007?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/48568,65000 – 95000 руб.,65000.0,95000.0,руб
